E01A01_A01_01.ab1 Results

Enzyme Name	Cut Positions
BstKTI		306, 564, 594
BstMAI		525
BstMBI		303, 561, 591
BstMWI		90
BstNI		188
BstNSI		472
BstOI		188
BstSCI		186
BstSFI		453
Bst2UI		188
BstV2I		575
BstX2I		591
BstYI		591
BsuI		389, 757
BsuRI		258, 396, 430, 576
BtgI		307
Cfr13I		772
ChaI		307, 565, 595
CjeI		352, 373, 433, 723
CjeNII		241, 369, 403
CjePI		102, 176, 235, 364, 450, 505, 662, 724
CjeP659IV		206, 364
CjuII		144, 403, 598
Csp6I		178, 228, 351
CstMI		21, 368
CviAII		260, 308, 469, 543, 596
CviJI		23, 93, 173, 191, 247, 258, 362, 396, 430, 487, 509, 576, 602, 683, 796
CviKI-1		23, 93, 173, 191, 247, 258, 362, 396, 430, 487, 509, 576, 602, 683, 796
CviQI		178, 228, 351
DdeI		464
DpnI		305, 563, 593
DpnII		303, 561, 591
Eco31I		525
Eco32I		291
Eco47I		772
Eco57I		177
Eco130I		307, 732
Eco147I		396
Eco57MI		177
EcoNI		252
EcoRII		186
EcoRV		291
EcoT14I		307, 732
EcoT22I		544
ErhI		307, 732
FaeI		263, 311, 472, 546, 599
FaiI		77, 112, 261, 296, 309, 455, 470, 540, 544, 550, 597, 800
FalI		12, 44
FaqI		56, 450, 726
FatI		259, 307, 468, 542, 595
FinI		70, 435, 740
FmuI		775
FspBI		68, 81, 603
FspEI		19, 37, 55, 74, 107, 134, 142, 173, 196, 199, 217, 240, 247, 271, 272, 293, 294, 320, 320, 357, 376, 378, 395, 401, 419, 423, 443, 444, 469, 487, 518, 523, 544, 574, 590, 596, 608, 631, 653, 689, 706, 710, 741, 745, 788
GsaI		701
HaeI		258, 396, 430, 576
HaeIII		258, 396, 430, 576
Hin1II		263, 311, 472, 546, 599
Hin4I		395
HphI		193, 402, 489, 735
Hpy8I		228
Hpy166II		228
Hpy188III		280, 524, 565
HpyAV		72, 420, 477
HpyCH4III		106, 411
HpyCH4IV		710
HpyCH4V		239, 268, 542
HpyF3I		464
HpyF10VI		90
Hsp92II		263, 311, 472, 546, 599
Kzo9I		303, 561, 591
LlaGI		250, 602
LpnPI		173, 200, 278, 332, 401, 419, 558, 596, 711
LweI		277
MaeI		68, 81, 603
MaeII		710
MaeIII		711
MalI		305, 563, 593
MboI		303, 561, 591
MboII		492, 580, 647
MflI		591
MjaIV		225
MmeI		569
MnlI		207, 258, 365, 386, 592, 653
Mph1103I		544
MseI		149, 555, 806
MspJI		2, 19, 37, 54, 55, 80, 97, 117, 123, 156, 165, 173, 182, 199, 199, 217, 222, 240, 255, 266, 272, 283, 292, 305, 320, 341, 345, 373, 375, 394, 397, 420, 423, 445, 446, 475, 476, 492, 510, 512, 529, 534, 551, 555, 571, 577, 589, 597, 609, 615, 632, 644, 676, 684, 696, 707, 714, 741, 744, 761, 776, 780, 802
MspR9I		188
MvaI		188
MwoI		90
NcoI		307
NdeII		303, 561, 591
NhaXI		564, 631
NlaIII		263, 311, 472, 546, 599
NlaIV		593, 773
NmuCI		711
NsiI		544
NspI		472
PabI		180, 230, 353
PceI		396
PflFI		612
PhoI		258, 396, 430, 576
PlaDI		189
Ppu10I		540
Ppu21I		711
PshBI		555
Psp03I		775
Psp6I		186
PspGI		186
PspN4I		593, 773
PspPI		772
PsuI		591
PsyI		612
RsaI		179, 229, 352
RsaNI		178, 228, 351
SaqAI		149, 555, 806
Sau96I		772
Sau3AI		303, 561, 591
ScrFI		188
SdeAI		307
SetI		8, 175, 189, 199, 236, 321, 694, 713, 798
SfaNI		277
SfcI		453
SgeI		11, 19, 37, 54, 80, 156, 173, 182, 199, 230, 251, 256, 277, 294, 320, 351, 377, 397, 420, 423, 446, 455, 481, 486, 510, 512, 529, 536, 551, 555, 571, 577, 589, 597, 615, 618, 644, 684, 710, 719, 745, 754, 776, 780, 802
SimI		461, 519, 614, 772
SinI		772
SmlI		522
SmoI		522
Sse9I		33, 128, 221, 313, 556, 718, 727, 776, 781, 803
SseBI		396
SspI		644
SspD5I		192, 402, 489, 735
Sth132I		797
StuI		396
StyI		307, 732
StyD4I		186
TaaI		106, 411
TaiI		713
TasI		33, 128, 221, 313, 556, 718, 727, 776, 781, 803
TatI		177, 227
Tru1I		149, 555, 806
Tru9I		149, 555, 806
TscAI		213, 438
TsoI		697
Tsp45I		711
Tsp509I		33, 128, 221, 313, 556, 718, 727, 776, 781, 803
TspDTI		133
TspEI		33, 128, 221, 313, 556, 718, 727, 776, 781, 803
TspRI		213, 438
Tth111I		612
Tth111II		718
UnbI		771
VpaK11AI		771
VpaK11BI		772
VspI		555
XagI		252
XapI		128, 727
XceI		472
XhoII		591
XspI		68, 81, 603
Zsp2I		544

------------------------------

E01F12_C04_06.ab1 Results

Enzyme Name	Cut Positions
AccB7I		667
AceIII		169
AciI		376, 618
AclWI		359
AcoI		473
AfaI		12
AfiI		372, 667, 685, 710, 763
AgsI		18, 199
AhdI		366
AjnI		293, 338, 719
AluI		159, 555, 603
AluBI		159, 555, 603
AlwI		359
Alw26I		31, 453
AlwFI		663
AoxI		467, 473, 658, 712, 735, 754, 779, 787
ApaI		739
ApaBI		413
ApeKI		412
Asi256I		352, 399
AspEI		366
AspS9I		505, 658, 713, 735, 754, 788
AssI		12
AsuHPI		240, 346, 391
AvaII		505
BaeGI		739
BalI		475
BanII		739
BasI		667
BauI		450
BbvI		399
BccI		9, 376, 478, 531
BceAI		677
BcefI		678
BclI		398
BfaI		543
BfmI		413
BfuCI		351, 398
BisI		413
BlsI		414
BmcAI		12
Bme18I		505
Bme1390I		295, 340, 721
BmeRI		366
BmgI		734, 734
BmgT120I		506, 659, 714, 736, 755, 789
BmiI		598, 659, 737, 790
BmrFI		295, 340, 721
BmsI		212, 294, 331, 411
BsaJI		294, 470, 666, 684, 709
BsaWI		328
Bsc4I		372, 667, 685, 710, 763
BscAI		211, 297, 330, 414
BscGI		478, 623, 732, 763
BseBI		295, 340, 721
BseDI		294, 470, 666, 684, 709
BseGI		322, 525, 566
BseLI		372, 667, 685, 710, 763
BseMII		174, 445
BseSI		739
BseXI		399
BseYI		155, 255
BsgI		456
BshFI		469, 475, 660, 714, 737, 756, 781, 789
BsiSI		329
BslI		372, 667, 685, 710, 763
BslFI		238
BsmAI		31, 453
BsmFI		238
BsnI		469, 475, 660, 714, 737, 756, 781, 789
Bsp19I		709
Bsp120I		735
Bsp143I		351, 398
Bsp1286I		739
BspACI		376, 618
BspCNI		173, 444
BspGI		291, 720
BspLI		598, 659, 737, 790
BspNCI		464, 498
BspPI		359
BssECI		294, 470, 666, 684, 709
BssKI		293, 338, 719
BssMI		351, 398
BssSI		450
BssT1I		470, 666, 684, 709
Bst6I		46
BstAPI		412
Bst2BI		450
Bst4CI		252, 396, 497
BstDEI		160, 431
BstDSI		709
BstENI		683
BstF5I		322, 525, 566
BstKTI		354, 401
BstMAI		31, 453
BstMBI		351, 398
BstMWI		412
BstNI		295, 340, 721
BstOI		295, 340, 721
BstSCI		293, 338, 719
BstSFI		413
BstSLI		739
Bst2UI		295, 340, 721
BstV1I		399
BsuRI		469, 475, 660, 714, 737, 756, 781, 789
BtgI		709
BthCI		415
BtsCI		322, 525, 566
CdiI		207
CfrI		473
Cfr13I		505, 658, 713, 735, 754, 788
ChaI		355, 402
CjeI		502
CjeNII		142, 442
CjuI		476
CjuII		141, 640
Csp6I		11
CviAII		641, 710
CviJI		87, 159, 217, 259, 412, 469, 475, 542, 555, 575, 583, 603, 628, 660, 714, 737, 756, 781, 789
CviKI-1		87, 159, 217, 259, 412, 469, 475, 542, 555, 575, 583, 603, 628, 660, 714, 737, 756, 781, 789
CviQI		11
DdeI		160, 431
DpnI		353, 400
DpnII		351, 398
DraII		788
DrdII		596
DriI		366
EaeI		473
Eam1104I		46
Eam1105I		366
EarI		46
EciI		633
Eco24I		739
Eco47I		505
Eco130I		470, 666, 684, 709
EcoNI		683
EcoO109I		788
EcoRII		293, 338, 719
EcoT14I		470, 666, 684, 709
EcoT38I		739
ErhI		470, 666, 684, 709
EsaBC3I		550
FaeI		644, 713
FaiI		176, 184, 642, 711, 731
FaqI		238
FatI		640, 709
FauI		369
FauNDI		184
FbaI		398
FinI		252
FmuI		508, 661, 716, 738, 757, 791
Fnu4HI		413
FokI		309, 532, 573
FriOI		739
FspBI		543
FspEI		14, 58, 64, 90, 109, 142, 162, 184, 202, 231, 255, 273, 280, 307, 314, 334, 339, 358, 370, 394, 438, 451, 470, 483, 488, 510, 521, 543, 579, 597, 597, 627, 645, 653, 671, 674, 692, 696, 716, 718, 737, 751, 758, 770
Fsp4HI		413
GluI		413
GsaI		159, 259
HaeI		469, 475, 781
HaeIII		469, 475, 660, 714, 737, 756, 781, 789
HaeIV		353, 384
HapII		329
HgiEII		477
Hin1II		644, 713
Hin4I		352, 384
HpaII		329
HphI		240, 346, 391
Hpy8I		107, 505
Hpy166II		107, 505
Hpy188I		317, 560
Hpy188III		280, 550
HpyAV		274, 342, 518
HpyCH4III		252, 396, 497
HpyCH4V		32, 64, 322, 415, 437, 457, 493
HpyF3I		160, 431
HpyF10VI		412
Hsp92II		644, 713
Ksp22I		398
Kzo9I		351, 398
LpnPI		169, 269, 280, 307, 314, 342, 379, 451, 485, 613, 640, 692, 706, 733
Lsp1109I		399
LweI		212, 294, 331, 411
MaeI		543
MaeIII		246
MalI		353, 400
MboI		351, 398
MboII		33, 541
MfeI		591
MhlI		739
MjaIV		104, 502
MlsI		475
MluNI		475
MmeI		258
MnlI		69, 159, 440, 565
MscI		475
MseI		22, 89, 118, 131
MspI		329
Msp20I		475
MspA1I		603
MspJI		9, 30, 47, 66, 77, 86, 100, 137, 142, 161, 167, 182, 191, 200, 208, 226, 230, 246, 252, 267, 275, 292, 296, 315, 328, 344, 351, 363, 369, 389, 414, 418, 436, 437, 456, 457, 478, 485, 502, 512, 520, 530, 543, 555, 571, 591, 611, 612, 631, 640, 649, 665, 667, 691, 696, 718, 720, 738, 739, 758, 761, 784
MspR9I		295, 340, 721
MunI		591
MvaI		295, 340, 721
MwoI		412
NcoI		709
NdeI		184
NdeII		351, 398
NlaIII		644, 713
NlaIV		598, 659, 737, 790
NlaCI		284, 362, 464
NmuCI		246
PabI		13
PflMI		667
PhoI		469, 475, 660, 714, 737, 756, 781, 789
Psp03I		508
Psp6I		293, 338, 719
PspGI		293, 338, 719
PspN4I		598, 659, 737, 790
PspOMI		735
PspPI		505, 658, 713, 735, 754, 788
PspPRI		450
PssI		791
PstI		417
PvuII		603
RsaI		12
RsaNI		11
SaqAI		22, 89, 118, 131
SatI		413
Sau96I		505, 658, 713, 735, 754, 788
Sau3AI		351, 398
ScaI		12
ScrFI		295, 340, 721
SduI		739
SetI		151, 161, 197, 244, 368, 510, 557, 605, 668, 690, 722
SfaNI		212, 294, 331, 411
SfcI		413
SgeI		86, 112, 142, 168, 182, 200, 208, 226, 242, 266, 268, 292, 315, 341, 344, 363, 370, 389, 436, 457, 462, 483, 486, 512, 529, 555, 571, 597, 611, 637, 641, 665, 667, 691, 696, 720, 722, 746, 751, 777
SimI		82, 426, 769
SinI		505
SmuI		369
Sse9I		19, 132, 591
SsiI		376, 618
SspD5I		239, 345, 391
Sth132I		368, 486, 616, 725, 756
Sth302II		330
StsI		308, 533, 574
StyI		470, 666, 684, 709
StyD4I		293, 338, 719
TaaI		252, 396, 497
TaqI		549
TaqII		158
TasI		19, 132, 591
TatI		10
Tru1I		22, 89, 118, 131
Tru9I		22, 89, 118, 131
TscAI		401, 439, 500
TseI		412
TsoI		352
Tsp45I		246
Tsp509I		19, 132, 591
TspDTI		536
TspEI		19, 132, 591
TspGWI		300, 532
TspRI		401, 439, 500
TsuI		688
UbaF14I		586
UnbI		504, 657, 712, 734, 753, 787
Van91I		667
VpaK11AI		504
VpaK11BI		505
XagI		683
XspI		543
ZrmI		12

------------------------------

E01H11_A06_02.ab1 Results

Enzyme Name	Cut Positions
Acc16I		521
Acc36I		663
AccB1I		3, 211, 567
AccB7I		507, 629
AceIII		443
AciI		731, 754
AclWI		430
AcoI		579, 728
AcsI		311, 745, 799
AcuI		620
AfaI		461
AfeI		592
AfiI		507, 577, 629, 737
AgsI		139, 351
AjnI		563, 725
AluI		142, 151, 157, 346, 457, 484
AluBI		142, 151, 157, 346, 457, 484
AlwI		430
Alw26I		115
Ama87I		392
Aor51HI		592
AoxI		579, 631, 728
ApaBI		518
ApeKI		157
ApoI		311, 745, 799
AseI		332
Asi256I		436
Asp700I		592
AspCNI		729
AspLEI		522, 593
AspS9I		498, 695, 723
AsuHPI		110
AvaI		392
AvaII		498, 695, 723
AviII		521
BaeGI		6
BanI		3, 211, 567
BasI		507, 629
BbvI		144
BccI		501
BceAI		594
BcefI		594
BciVI		293
BfaI		148, 658
BfiI		233
BfoI		594
BfuI		293
BfuAI		663
BfuCI		435
BisI		158, 731
BlsI		159, 732
Bme18I		498, 695, 723
Bme1390I		565, 727
BmeT110I		392
BmgI		1
BmgT120I		499, 696, 724
BmiI		5, 213, 569
BmrI		233
BmrFI		565, 727
BmuI		233
BsaI		115
BsaJI		179, 423, 563, 634, 793
BsaMI		717
BsbI		423
Bsc4I		507, 577, 629, 737
BscGI		421, 537
Bse1I		121, 228, 623
BseBI		565, 727
BseDI		179, 423, 563, 634, 793
Bse3DI		166, 482
BseLI		507, 577, 629, 737
BseMI		166, 482
BseMII		24, 118, 560
BseNI		121, 228, 623
BseSI		6
BseXI		144
BshFI		581, 633, 730
BshNI		3, 211, 567
BsiHKCI		392
BslI		507, 577, 629, 737
BslFI		433
BsmI		717
BsmAI		115
BsmFI		433
BsnI		581, 633, 730
Bso31I		115
BsoBI		392
Bsp143I		435
Bsp1286I		6
BspACI		731, 754
BspCNI		23, 117, 559
BspD6I		398
BspHI		62
BspLI		5, 213, 569
BspMI		663
BspNCI		291, 581, 652
BspPI		430
BspT107I		3, 211, 567
BspTNI		115
BsrI		121, 228, 623
BsrDI		166, 482
BsrSI		121, 228, 623
BssECI		179, 423, 563, 634, 793
BssKI		563, 725
